CURP,nombre_cliente,paterno_cliente,materno_cliente,Localidad,calle_cliente,numero_cliente,CP_cliente,tipo_cliente,fotografia_cliente,telefono_casa,telefono_celular_cliente,Edificio,correo_electronico_cliente
DBUL701218MCFGRS59,LUIS,AMIL,LOPEZ,IZTAPALAPA,CTO. LAZARO CARDENAS  ,43111,79798,A,szuhkafgl/swlbnj.thq,27-98-38-89,55-37-43-44-55,Facultad de Ciencias,imarritt2z@cdc.gov
MNZH751029MRMFUW01,IRLE MAIDER,AMIR,AMY,CUAJIMALPA,CERRO DE LOS GAVILANES  ,8,57152,A,jbichtw/hpgawey.imx,57-57-91-74,55-71-81-51-30,Facultad de Ciencias,ejanczewski30@amazon.co.jp
GIJL941215HTMYGB00,FRANCISCO JAVIER,AMORENA,FERNANDEZ,BENITO JUAREZ,AV. LAS TORRES  ,206,83367,A,pzsrany/bkgwnlu.xwj,50-42-32-82,55-73-61-75-34,Facultad de Ciencias,kagge31@seattletimes.com
GDLU911219MGCPRV26,JOSE GERARDO,AMORIN,BATLLE,TLALPAN,PARAJE  ,66128,67465,A,vygfutobin/tafrnsbo.afk,76-91-96-02,55-90-19-00-31,Facultad de Ciencias,imerryfield32@stanford.edu
PKJW961229MIBFPD80,JOSE ANTONIO,AMY,TEJERA,CUAHUTEMOC,JAVIER MARTINEZ  ,3557,89735,A,skcjpugtr/qnoph.osp,58-17-63-46,55-31-95-86-53,Facultad de Quimica,tgoldwater33@rambler.ru
UMTZ781228HVZLQC68,LUIS HECTOR,ANASTASIA,CORREA,GUSTAVO A. MADERO,EMILIO LAURENT  ,805,23596,A,flwpknhy/omtxpagckr.gep,40-25-10-67,55-35-71-31-57,Facultad de Quimica,kfallis34@ocn.ne.jp
DNJK931029HYSTBC01,NIRIA,ANASTASIA,SUAREZ,VENUSTIANO CARRANZA,SUR  A  ,46,12718,A,qfumcgh/ogbzrik.rsu,03-69-26-85,55-01-42-44-07,Facultad de Quimica,fcolquete35@marriott.com
JDGH980909MQUWZL18,HECTOR DANIEL,ANCHETA,FRANCA,MIGUEL HIDALGO,LIBERTAD  ,61,56890,A,erjuithdc/ldwk.vax,88-66-47-11,55-91-91-36-82,Facultad de Ciencias,kburchatt36@ameblo.jp
FWTD741108MBVAGL41,JAVIER ZENON,ANDRADE,DUHALDE,IZTACALCO,AVENIDA PAPANTLA  ,76,79312,A,ehksgrba/cgtikqe.lrs,72-34-74-11,55-22-49-25-75,Facultad de Quimica,prudinger37@biglobe.ne.jp
SIBT970909MKDNIF58,LUIS ALBERTO,ANDRADE,DEFELIPO,AZCAPOTZALCO,EXCONVENTO DE CHURUBUSCO  ,7611,56835,A,yvufw/mfwkev.swb,77-46-89-90,55-44-12-68-51,Facultad de Psicologia,wmalitrott38@biblegateway.com
ROXP681229HKEFYZ49,RAFAEL,ANDRADE,BENOIT,ALVARO OBREGON,LEONARDO DA VINCI  ,111,65333,A,lmnzbpithr/tgovamz.swl,56-38-10-06,55-17-48-72-03,Facultad de Ciencias,tgraffin39@google.pl
KBWX841229MBKXUV85,ALBERTO FABIAN,ANDRADE,VALDEZ,COYOACAN,PERIFERICO  ,860,19403,A,wntlpf/uyiqv.vrf,86-29-10-18,55-06-96-94-07,Facultad de Ciencias,djanic3a@dailymotion.com
FJPH631218HJIPBK41,MARIA ISABEL,ANDREONI,DA MARIA,TLAHUAC,CERRO DE LOS GAVILANES  ,7,36088,A,nwxdtlrjo/jleatzcv.ohm,52-45-59-19,55-52-56-93-88,Facultad de Odontologia,sriveles3b@nifty.com
MTNX881207HZDXUY85,SEBASTIAN,ANDUJAR,ALVAREZ DE RON,IZTAPALAPA,DR BALMIS  ,61,85567,A,iacyjflhwm/qwukp.nao,02-64-75-84,55-74-61-71-41,Facultad de Psicologia,bsandeman3c@is.gd
YSXH691208HPOHDK14,ANA MONICA,ANGELINI,IGUINI,CUAJIMALPA,ROA BARCENAS  ,40449,16939,A,vefn/nsvihqemc.tgh,00-79-94-49,55-37-80-23-99,Facultad de Ciencias,rantram3d@twitter.com
ZFDC611116HJWVAI36,NORA ALICIA,ANNUNZIATTO,MARTINO,BENITO JUAREZ,COLIMA  ,46172,68297,A,htpajdebkw/fzecypihrx.srn,16-20-29-85,55-00-92-77-27,Facultad de Quimica,pbevar3e@usnews.com
NYWD881229HESNAM67,WALDEMAR HEBERT,ANNUNZIATTO,MARTINO,TLALPAN,PRIV. ABASOLO  ,0,51854,A,steuxni/mywogrc.qvh,03-27-00-99,55-90-06-46-25,Facultad de Quimica,twiddall3f@umn.edu
SMDL911208MPIORZ03,MARIA MERCEDES,ANTIA,BEHERENS,CUAHUTEMOC,AV. ERMITA  ,63708,66881,A,bnipk/jwyelbfh.qwg,29-50-50-59,55-07-43-70-95,Facultad de Odontologia,ehooke3g@vkontakte.ru
EKVB811229MOKVJA55,ENRIQUE ANDRES,ANTIA,BEHRENS,GUSTAVO A. MADERO,PRIMERA CERRDA DE MARGARITAS  ,53222,18681,A,igut/orlg.jzb,41-40-21-25,55-91-54-74-65,Facultad de Musica,hcuttin3h@apache.org
LVKE910925MFLBDH57,FERNANDO,ANTIA,BEHRENS,VENUSTIANO CARRANZA,CERRADA DE CANAL NACIONAL  ,8,32127,A,ocbg/pcbwrmal.msd,08-87-06-12,55-88-71-90-18,Facultad de Psicologia,rfitzpayn3i@ask.com
INWB851219MAGCEY90,ALEJANDRO,ANTONELLI,CORBI,MIGUEL HIDALGO,BATALLA DE CALPULALPAN  ,4054,45136,A,bhiqzumg/rsaobxgd.etb,45-20-23-66,55-70-43-17-30,Facultad de Psicologia,aliddel3j@ovh.net
KRLV871228MCZYHS63,OLIVERA,ANTONIO,ALBINO,IZTACALCO,LAGO MANAGUA  ,14138,31432,A,suyj/ilpmakd.ytg,13-55-34-00,55-27-77-06-08,Facultad de Ciencias,sterbruggen3k@xing.com
NTIM851209HZYQXB67,FREDIS,ANTUNEZ,MARTINEZ,AZCAPOTZALCO,HIDALGO  ,93195,89240,A,ftqknxdrw/gjlt.cyl,79-86-27-12,55-50-95-22-18,Facultad de Ciencias,bfenech3l@princeton.edu
ZPYO641219MHTWXK76,MARIO,ANZA,LEON,ALVARO OBREGON,CORUÑA  ,54718,36791,A,knyc/usngefhj.srt,12-03-26-08,55-52-03-62-78,Facultad de Quimica,asneesbie3m@statcounter.com
NBGS981129HATWCE84,PABLO,ANZALONE,CANTONI,COYOACAN,JOSE SAAVEDRA DEL RAZO  ,8,27737,A,lynhtmkc/irzochwte.bjs,00-26-25-64,55-02-90-69-72,Facultad de Quimica,kdionsetti3n@slashdot.org
PKMR601108HQOLNJ41,DANIEL,APATIA,SANTINI,TLAHUAC,AV. COPILCO  ,11,73416,A,yozvrd/gadxzniqo.ztr,07-13-43-22,55-36-45-54-98,Facultad de Ciencias,jlesper3o@dion.ne.jp
USQV811207MDZGUS43,PEDRO ROQUE,APEZTEGUIA,SETELICH,IZTAPALAPA,BOULEVARD MALINTZI  ,7461,14680,A,gosce/dhya.fyv,97-16-22-91,55-02-85-75-79,Facultad de Odontologia,tlidgertwood3p@smh.com.au
ZQME611219HXPYRG84,GABRIEL,APOLO,GOYOAGA,CUAJIMALPA,PATRICIO SANZ  ,5,92484,A,ginecqa/wneiydp.mcu,52-60-05-23,55-80-88-47-86,Facultad de Quimica,pdranfield3q@statcounter.com
SWGJ930909HRZOPB19,RAMON FRANCISCO,APPRATTO,LORENZO,BENITO JUAREZ,PROLON BUENOS AIRES  ,9,62325,A,sqlj/xiwbgo.lxu,06-32-08-18,55-61-99-66-52,Facultad de Psicologia,trawlcliffe3r@opensource.org
MRDG971219MYSAKX03,LAURA,AQUINO,DOMINGUEZ,TLALPAN,HIGUERA   ,3,28714,A,ekfan/ysifrqp.ure,70-10-45-35,55-43-11-47-38,Facultad de Psicologia,vmell3s@independent.co.uk
QAGW911227MEQOTJ94,MIRIAM AMELIA,ARADA,MIER,CUAHUTEMOC,CHICARAS  ,4,28277,A,utjyx/vaymwjlrcz.kft,87-12-88-70,55-33-52-24-74,Facultad de Quimica,awaters3t@paypal.com
JCFZ950914MLBXUQ02,ROQUE DANIEL,ARAMBULA,LEAL,GUSTAVO A. MADERO,CAMINO REAL AL AJUSCO  ,7,40513,A,grtl/kaiefsuhw.kwe,33-22-69-81,55-98-54-00-23,Facultad de Quimica,mgiacubo3u@businessinsider.com
UAQJ611108MMOVYE06,IGNACIO,ARAMBURU,HERNANEZ,VENUSTIANO CARRANZA,ALCANFORES  ,59,83429,A,ijosf/eurtilb.wfe,70-22-40-02,55-79-02-02-24,Facultad de Odontologia,kdonnell3v@last.fm
TOBP691227HCUVHX13,JOSE LUIS,ARAMBURU,DE LA ROSA,MIGUEL HIDALGO,UN HAB FUENTES BROTANTES  ,89222,27215,A,qltsxyb/lctp.vcl,07-26-48-92,55-71-95-53-61,Facultad de Quimica,scromwell3w@yahoo.com
MTSV951118HDFHLX50,DANIEL HUGO,ARANCIO,ROMANO,IZTACALCO,VILLA FRATI  ,2,48113,A,bcnkpxw/kgdmph.xlt,29-78-09-91,55-45-77-14-22,Facultad de Ciencias,ashawdforth3x@dailymotion.com
JLCA831229MZOHLB30,MARY BEATRIZ,ARAUJO,DUARTE,AZCAPOTZALCO,AV SANTA MARIA  ,5,43699,A,liporc/qdvochwz.dsf,61-13-26-04,55-93-00-40-31,Facultad de Psicologia,dbott3y@posterous.com
ITGZ751217HMXTNV87,LIDIA,ARAUJO,SERRON,ALVARO OBREGON,FRANCISCO SARABIA  ,40125,42765,A,xoifcbvrm/ifnl.bte,92-60-73-22,55-07-44-59-94,Facultad de Odontologia,mslopier3z@ehow.com
KXYW961017HMWZNO10,HUGO ROMAN,ARAUJO,MENA,COYOACAN,SANTA MARIA  ,14,71804,A,woqlhr/wefduy.cob,90-13-91-92,55-16-62-94-62,Facultad de Ciencias,femes40@disqus.com
VXQC601207MXIEKN39,GABRIELA ---,ARAUJO,NICOLINI,TLAHUAC,CALLE DE ABRIL  ,788,13565,A,dsyu/fclbvqu.xel,32-92-68-23,55-46-35-01-94,Facultad de Ciencias,ecrasswell41@indiatimes.com
EBDY671107HQAWJT62,ALICIA,ARAUJO,REFRESQUINI,IZTAPALAPA,CALLE MAESTRO RURAL  ,142,96133,A,ovchmaes/qzodskearf.kbo,04-15-95-14,55-84-14-22-04,Facultad de Ciencias,ebenyon42@devhub.com
PMVT961219MLCZKV70,HUBERT,ARBILDI,LOPEZ,CUAJIMALPA,AV. ZACAMULPA  ,851,49806,A,udbt/fjsoqmabr.ptr,09-87-19-69,55-40-09-29-83,Facultad de Ciencias,amccreary43@miitbeian.gov.cn
ZRTC921229HXPVFZ46,GUALBERTO,ARBIZA,HERNANEZ,BENITO JUAREZ,AV. NACIONES UNIDAS  ,7408,22736,A,lqgaixj/vlydtmbu.icx,57-70-57-11,55-30-20-02-62,Facultad de Ciencias,clismer44@nih.gov
GQMK941019MGETJX58,EDUARDO,ARBULO,OSNAYA,TLALPAN,LLUVIA  ,890,27164,E,bwrajdgq/radylebkg.iwv,56-95-25-40,55-63-94-05-97,Facultad de Psicologia,bkibbee45@patch.com
VXME771127MNKXIO12,MATEO DANIEL,ARBULO,FERREIRA,CUAHUTEMOC,PROVIDENCIA  ,94991,56502,E,owdilqjc/usqipcfena.jfi,67-59-63-98,55-29-93-72-80,Facultad de Medicina Veterinaria y Zootecnia,vkomorowski46@miibeian.gov.cn
TPGY961228MBIWJK60,DIVAR DANIEL,ARCIERI,RODRIGUEZ,GUSTAVO A. MADERO,PONIENTE   ,38213,93619,E,drpmq/owprnjmgc.bjl,03-43-49-46,55-74-86-46-81,Facultad de Quimica,sdonnison47@wikispaces.com
QBFN811018HLVKHN77,JOSE SEBASTIAN,ARELLANO,AYALA,VENUSTIANO CARRANZA,AV MEXICO  ,9093,54186,E,cmkoadijqz/vtmud.bve,06-36-00-84,55-64-86-78-56,Facultad de Psicologia,bborborough48@about.me
STMH981229MGERBN63,ADRIANA RAQUEL,ARENAS,BARREIRO,MIGUEL HIDALGO,LEONARDO DA VINCI  ,517,23073,E,iehglkbxfr/segmor.ely,88-14-97-50,55-32-56-70-62,Facultad de Ciencias,rcroxon49@meetup.com
TNHK661128MDANMU40,MIRIAM GUIOMAR,AREOSA,CAZAJOUS,IZTACALCO,SANTA ANA  ,9223,62192,E,mpjxui/ciyb.rwc,94-10-87-36,55-94-85-74-52,Facultad de Ciencias,rmacgowing4a@microsoft.com
YOHU851229HGEPQB61,CARLOS VALERIO,AREZO,POSADA,AZCAPOTZALCO,LA GARITA  ,4,81721,E,vpjrmzeanx/pfxjhyqlgv.lpt,64-85-06-52,55-10-40-88-57,Facultad de Ciencias,rjennison4b@about.me
KEUN810928HNYEQX26,ENRIQUE,AREZO,NANDE,ALVARO OBREGON,XOCHIQUETZAL  ,99841,36591,E,uznsmd/yawul.utq,85-54-53-04,55-55-61-88-42,Facultad de Psicologia,fcole4c@prnewswire.com
WIBD911029MNCEWI17,ISMAEL,ARGUELLO,RODRIGUEZ,COYOACAN,ACERCAMIENTO NACIONAL  ,968,76149,E,uvqwbzljnc/ykbjntsf.zfs,70-73-67-79,55-88-00-81-12,Facultad de Quimica,jdudill4d@geocities.com
WIUN951219MFCDKL03,MARIA ELIDA,ARGUELLO,WETHERALL,TLAHUAC,CRUCES  ,3,31699,E,hxpytnif/gkvnaihywj.giq,95-60-05-48,55-43-26-63-81,Facultad de Ciencias,jheustice4e@mashable.com
PJQR751109MYFZXA71,MANUEL ERNESTO,ARIAS,PICHON,IZTAPALAPA,ZARAGOZA  ,67,78117,E,gnox/ytxednbr.byx,33-86-64-88,55-57-13-36-46,Facultad de Psicologia,hhartshorne4f@nifty.com
LXOM821219HMBECO52,RIVERA,ARIAS,MORALES,CUAJIMALPA,BERNAL DIAZ DEL CASTILLO  ,457,75018,E,slou/koxfeytv.cim,06-76-08-71,55-62-19-79-65,Facultad de Ciencias,cplenderleith4g@columbia.edu
IMHU731018HUPJQX83,RICARDO,ARIGON,BACHINI,BENITO JUAREZ,CERRADA DE CANAL NACIONAL  ,567,48506,E,nfalrc/kdnry.yjq,67-82-13-90,55-64-40-42-48,Facultad de Quimica,misakowicz4h@fotki.com
FCKE901119HNCELW12,RODRIGO MIGUEL,ARIM,IHLENFELD,TLALPAN,CTO. LAZARO CARDENAS  ,6658,31935,E,nwhseb/wsabutmnhj.tdp,04-56-02-43,55-05-21-99-89,Facultad de Musica,scornelissen4i@phoca.cz
XYWE921209HUQBPG77,JUAN CARLOS,ARISMENDES,MARTINEZ,CUAHUTEMOC,MANUEL GUTIERREZ NAJERA  ,1922,50538,E,vybwenifl/jdtifxocez.bti,04-71-92-03,55-76-54-59-82,Facultad de Ciencias,kmcreidy4j@chronoengine.com
BUTP631117MOSCZL18,CARLOS DOMINGO,ARISMENDI,CESAR,GUSTAVO A. MADERO,AV. CRISTOBAL HIDALGO  ,7752,69533,E,elobx/wcqm.otz,90-00-28-28,55-58-24-54-96,Facultad de Ciencias,cepple4k@theguardian.com
UGDF621229HBISPK63,JOSE ANDRES,AROCENA,ARGUL,VENUSTIANO CARRANZA,PRIVADA AZOYAPAN  ,4024,61426,E,jgovefr/xpeardj.rsu,88-33-51-87,55-97-15-01-42,Facultad de Psicologia,awalentynowicz4l@opensource.org
HLYZ901229MTWHLU69,RODRIGO,AROCENA,LINN,MIGUEL HIDALGO,SUR  A  ,55950,89589,E,lbogp/doezir.krf,19-54-60-02,55-95-01-50-23,Facultad de Medicina Veterinaria y Zootecnia,cnowland4m@noaa.gov
ZIET980915MKQXJS70,OSCAR,ARRAMBIDE,MONCE,IZTACALCO,PATRICIO SANZ  ,9870,56718,E,scbkuw/bhaizc.new,21-67-28-76,55-33-39-24-31,Facultad de Odontologia,amellanby4n@marketwatch.com
SQBM901208HOZIYM53,ROQUE EDISON,ARREGUI,MARSANO,AZCAPOTZALCO,PATRICIO SANZ  ,0,33484,E,jzrulntxfv/jgrmc.wqb,93-89-68-23,55-41-22-66-55,Facultad de Ciencias,cburnsyde4o@taobao.com
BNWO621126MUOKLA66,CLAUDIA,ARRIAGA,VILLAMIL,ALVARO OBREGON,TEJAMANIL  ,31,74415,E,axtec/wlyvkrspo.nzt,92-38-92-42,55-59-38-89-15,Facultad de Quimica,rtantrum4p@nsw.gov.au
NQIY931229MQTPCJ46,ELIZABETH,ARRIETA,LUCCHETTI,COYOACAN,CDA.DE LA SOLEDAD  ,974,16249,E,hfmijdcvp/hjfg.pjd,48-13-80-98,55-21-66-88-41,Facultad de Ciencias,vwillmot4q@nasa.gov
FMCZ780919MZYSQX78,SERGIO RAUL,ARRIGONI,BERAZA,TLAHUAC,CALLE DE ABRIL  ,46633,97663,E,dqvulgrz/kzivpbcf.kln,74-91-82-14,55-24-54-55-62,Facultad de Odontologia,rdeeley4r@usa.gov
QNFP921108MCAHUM42,JOSE PABLO,ARROYAL,RODRIGUEZ,IZTAPALAPA,ONCE MARTIRES  ,13982,96128,E,pvyerbukfw/oifcdg.viy,83-41-94-69,55-00-86-81-02,Facultad de Ciencias,lfray4s@biblegateway.com
IOXV930819HGPIJL80,SILVIA,ARROYO,FERREIRO,CUAJIMALPA,AV. CASTILLO DE CHAPULTEPEC  ,799,50595,E,gijskzx/ubew.vow,75-81-39-96,55-79-28-20-44,Facultad de Ciencias,okemell4t@xing.com
NDQZ741009MFBWQY90,SERGIO,ARTAZU,ROSAS,BENITO JUAREZ,CHICARAS  ,7,73759,E,ftyqme/dsnzl.ufr,05-41-06-54,55-58-25-32-56,Facultad de Ciencias,lmcilwraith4u@dedecms.com
CORZ901229MCWLTG46,MARIA TERESA,ARTECONA,GULLA,TLALPAN,XICOTENCATL  ,2214,75102,E,elkgdnxmjv/ctfkuzdxqh.vae,76-00-27-88,55-61-10-88-33,Facultad de Quimica,dvooght4v@free.fr
LNPA981229MFSOWJ38,JULIO CESAR,ARTIGAS,LEMA,CUAHUTEMOC,MAR DE LAS TEMPESTADES  ,67,36499,E,bixewcdygm/qimydc.dbl,67-90-81-19,55-23-55-56-50,Facultad de Ciencias,mivanyutin4w@mlb.com
FTQY951229MKOVQJ76,ENRIQUE,ARTOLA,NARANJA,GUSTAVO A. MADERO,JOAQUIN GARCIA LUNA  ,7,94500,E,fspduke/ylnjfvptzo.kav,34-23-67-54,55-11-20-02-56,Facultad de Psicologia,mbembrick4x@weebly.com
RASM971227MKBXRE10,ADRIANA LAURA,ARTURO,LOUREIRO,VENUSTIANO CARRANZA,PIE DE LA CUESTA  ,82451,19856,E,jtyemb/dmrvtbq.hxi,54-53-02-55,55-38-44-09-74,Facultad de Ciencias,kpollard4y@foxnews.com
KWFB971228MFRXVE56,SERGIO MARIO,ASHFIELD,PRATS,MIGUEL HIDALGO,CALLE MAESTRO RURAL  ,38,45864,E,rtwl/oqjvwdkug.hmk,02-93-98-01,55-78-28-80-30,Facultad de Medicina Veterinaria y Zootecnia,laburrow4z@twitter.com
DAIF861127MZFYEC56,MIGUEL MEDARDO,ASQUETA,SO?ORA,IZTACALCO,PARAJE  ,6,84256,E,uxibfrdmla/jpktnrcl.twi,55-38-14-63,55-53-76-61-39,Facultad de Quimica,bbothams50@accuweather.com
TONA801209HGSJNO12,ALFREDO ANGEL,ASTI,CARLI,AZCAPOTZALCO,TEPETONGO  ,2694,10028,E,jyanz/yqrgxuhb.zid,24-45-24-64,55-64-00-66-61,Facultad de Quimica,cbrookshaw51@prlog.org
CMEX941229HNZVIB33,DIEGO,ASTIAZARAN,PEREZ,ALVARO OBREGON,LOMA DEL GALLO  ,359,88326,E,krleq/kubwitzdr.lxh,75-18-60-68,55-91-72-37-25,Facultad de Musica,rbestiman52@comsenz.com
MPRV941129MJLKXR36,DARIO,ASTOR,PORRINI,COYOACAN,BELLACO  ,3,17970,E,lfniq/hxjoibvryg.big,38-45-37-51,55-94-76-00-22,Facultad de Ciencias,santos53@feedburner.com
MJUA820708HTYWAQ64,DANILO,ASTORI,BAUTISTA,TLAHUAC,ONCE MARTIRES  ,9918,70771,E,aiepybv/hdjogw.awd,74-52-79-88,55-75-35-81-66,Facultad de Quimica,vchantillon54@cdbaby.com
CSZU751229MHLYDA84,JUAN,ATILIO,TAPIA,IZTAPALAPA,AV PACIFICO  ,6140,84332,E,uksm/pcyokqsj.ext,09-60-54-03,55-55-10-16-67,Facultad de Ciencias,cmacbey55@baidu.com
FJHY861107MQVWSJ41,JOSE MARIA,AUNCHAIN,ESPONDA,CUAJIMALPA,JOSE SAAVEDRA DEL RAZO  ,50,54272,E,tobqnw/jsmgqez.mgy,97-92-09-76,55-33-35-88-09,Facultad de Psicologia,kcalvie56@hhs.gov
MOVT931218MYTNGX57,CARLOS FRANCISCO,AUNCHAYNA,POLLA,BENITO JUAREZ,MANUEL PELAEZ  ,599,34745,E,yslrcnjpov/tqszxelyo.vhz,15-89-91-64,55-89-90-59-22,Facultad de Medicina Veterinaria y Zootecnia,ndallaghan57@princeton.edu
IXBR961127HLAPMG72,LUIS ALBERTO,AVELLANAL,SUAREZ,TLALPAN,HIDALGO  ,84,25556,E,otdnaypvei/pdcwnz.vcp,78-08-01-08,55-03-42-65-85,Facultad de Quimica,grennles58@bing.com
NSLI911029MMUDBX31,OLDEMAR JACINTO,AVERO,DIVERIO,CUAHUTEMOC,SABADEL  ,8,97947,E,gwuhiap/zfdbvigpy.otu,24-70-45-37,55-71-56-50-86,Facultad de Quimica,efurst59@psu.edu
TIVE970919HWEMCV40,ANDREA,AVIAGA,TORRES,GUSTAVO A. MADERO,PERU  ,578,22106,E,otwijar/mgvj.exy,94-86-00-89,55-46-67-34-62,Facultad de Ciencias,oanersen5a@cpanel.net
SEUI911128MKTGXS81,DARDO,AVILA,RECUERO,VENUSTIANO CARRANZA,CIRCUITO RIO BLANCO  ,482,44443,E,zpiogl/irofegsb.vxq,34-49-20-74,55-62-27-86-73,Facultad de Quimica,cconstant5b@washingtonpost.com
WQPT811226HCYTJD87,ANA PATRICIA,AYALA,SANCHIS,MIGUEL HIDALGO,HEMICICLO A JUAREZ  ,412,54263,E,zuko/xysp.qbr,99-87-32-60,55-18-31-08-18,Facultad de Ciencias,mgoldsmith5c@skyrock.com
QKCM921109HQDZBP19,BEATRIZ MARIA,AZAMBUJA,PATRONE,IZTACALCO,FRANCISCO VILLA  ,49649,24449,E,ziebygo/litsoezvnu.jci,33-63-34-78,55-53-67-57-32,Facultad de Quimica,vburdett5d@comsenz.com
RTDH801117MMTUAH61,TERESITA,AZAMBUYA,AGUERRE,AZCAPOTZALCO,AVENIDA SAN JERONIMO  ,9,45477,E,qmul/dumcywk.rqc,52-20-14-01,55-85-64-50-58,Facultad de Odontologia,tdavidsohn5e@jimdo.com
SZHX991027MAVWTI21,HERNANN ERIC,AZARETTO,MA?ANA,ALVARO OBREGON,VISTA HERMOSA  ,9321,78154,E,qkenipawgh/dufcwxjvs.mtr,83-20-70-24,55-91-57-65-34,Facultad de Psicologia,saspling5f@loc.gov
KEJR631229HUBCRA31,PABLO EDUARDO,AZCUE,AIZPUN,COYOACAN,ALZATE  ,4,37773,E,gkebp/zxmyou.iwv,86-69-43-37,55-81-70-19-35,Facultad de Ciencias,jparsisson5g@hao123.com
FUYS961229HONQSI77,KARINA,AZURIZ,CANNELLA,TLAHUAC, DE NOVIEMBRE  ,87405,34466,E,yoaudbmsj/dpnixfem.cfg,15-40-65-33,55-49-69-65-34,Facultad de Ciencias,gtills5h@canalblog.com
OGDM871229MBXIDO52,JOSE ALBERTO,BACCARO,BLANC,IZTAPALAPA,CONTADORES  ,86800,24677,E,zfydvr/bpqx.ytq,97-10-13-60,55-90-05-59-55,Facultad de Quimica,rsimonou5i@adobe.com
ILCX911126HDCKXS74,CARLOS RENZO,BACCELLI,ROSSARI,CUAJIMALPA,ANDADOR PUENTE MONZON  ,1729,61369,E,uikwaogv/vxknihdpaq.zsr,11-81-31-17,55-00-95-50-91,Facultad de Ciencias,gmole5j@arizona.edu
DVHR901228HNHLVQ01,VICTOR,BACHMANN,SANCHEZ,BENITO JUAREZ,PERIFERICO  ,5,49098,E,fuwsdk/jbsm.tgw,56-99-24-70,55-49-42-13-33,Facultad de Musica,ncarrodus5k@kickstarter.com
CFSO850828HKRTSM51,RUBEN ANIBAL,BACIGALUPE,AUNES,TLALPAN,PRIV. DEL CEDRAL  ,281,45758,E,gjuv/ojndysmpue.exo,96-91-64-48,55-16-59-74-93,Facultad de Ciencias,svancassel5l@prlog.org
YLRN811209MJBGPD57,GABRIEL ALEJANDRO,BADANO,BURONI,CUAHUTEMOC,HORACIO NELSON  ,7533,64954,E,vdklsrxyf/jowb.tiz,46-45-20-24,55-74-93-32-06,Facultad de Ciencias,adewar5m@joomla.org
UTFW951219MREICZ35,NINO,BAEZ,FERRARO,GUSTAVO A. MADERO,LOMA DE GUADALUPE  ,612,63346,E,dlmexzoqjg/qdznafyhw.brf,87-30-77-48,55-14-84-44-55,Facultad de Ciencias,sgrinyakin5n@ovh.net
RNYS690919HTBADY79,DORA,BAGDASSARIAN,KETENYIAN,VENUSTIANO CARRANZA,ESTANQUILLO  ,2,57687,E,rnpufkqwcs/zdaloqr.mor,63-43-65-60,55-85-14-38-40,Facultad de Ciencias,emathieson5o@independent.co.uk
BGEX991106MSEPTF65,HEBERT,BAGNOLI,MONTES DE OCA,MIGUEL HIDALGO,CRISTOBAL COLON  ,1284,87051,E,ixof/vkszjdqa.eji,94-53-12-89,55-61-23-91-88,Facultad de Quimica,wronisch5p@storify.com
BNQZ941218MKYCBU73,LUIS MARIA,BAJAC,MASSONE,IZTACALCO,GALDINO H CASADOS  ,42866,84855,E,shtoy/ivdy.cqh,40-50-47-81,55-89-21-11-22,Facultad de Quimica,adressel5q@angelfire.com
QRNX911107HHUJAP88,GONZALO,BALARINI,TEJERA,AZCAPOTZALCO,EJIDO MAGDALENA PETLACALCO  ,6579,41754,E,otluzxgv/bhjfsk.qty,49-74-93-69,55-17-24-08-33,Facultad de Ciencias,mfeatonby5r@opera.com
MGXP951207HNLKUX93,JUAN DANIEL,BALBIS,GALLO,ALVARO OBREGON,MARINO MOSCO  ,68785,70867,E,ekyn/czqn.azk,71-82-43-71,55-53-91-48-78,Facultad de Quimica,bwhiteoak5s@alexa.com
SLGJ960909MQWCTY08,JOSE ALBERTO,BALCALDI,TESAURO,COYOACAN,ESTANQUILLO  ,3131,26445,E,apvuc/kbdj.gah,52-48-11-78,55-63-57-37-81,Facultad de Ciencias,ascurrell5t@digg.com
IEQD791228MQGTEV14,ADRIANA,BALCARCEL,NICOLETTI,TLAHUAC,SUR  A  ,9,16521,E,hznskapd/gbnu.dub,13-48-48-98,55-58-45-04-77,Facultad de Ciencias,hcattermole5u@moonfruit.com
JTNQ931107HZWQIF67,DANIEL BERNABE,BALDASSARI,BARBOZA,IZTAPALAPA,OLIVO  ,0,85543,E,xfkdetb/qypf.vto,59-88-58-77,55-30-37-13-70,Facultad de Quimica,evirgin5v@state.gov
UDAT671229MZFRQI40,CARLOS,BALDASSARI,ARISMENDI,CUAJIMALPA,TLACOTAL  ,1067,46274,E,jwdbzvc/qwxtckdien.oqc,73-84-45-84,55-87-32-85-13,Facultad de Odontologia,ddifranceschi5w@flavors.me
LTZS981216HJCSKW53,CARLOS HUMBERTO,BALDASSINI,BALATTI,BENITO JUAREZ,FELIPE ANGELES  ,242,80290,E,ivkyhbsed/wbrdopu.gzo,11-60-75-77,55-51-38-29-49,Facultad de Ciencias,apedden5x@mtv.com
QRWL921119MNXOUP33,IVONNE,BALDOMIR,FELIPEZ,TLALPAN,CAMPESINOS  ,95286,76950,E,jvfclry/udlf.ewv,52-74-78-38,55-15-01-21-82,Facultad de Ciencias,dbeckles5y@usda.gov
