CURP,hora_entrada,hora_salida
NOQP941129MRZJQO73,13:12:25,20:31:16
UMJO951116MUTSQH70,17:05:36,20:04:52
JQFP721129MBEIYZ65,19:05:09,21:11:36
TLGN931129MFKMEV61,12:35:26,20:57:29
UHRJ871208HUBNAG45,11:21:07,20:39:01
FHEU870909MTXQZH25,13:16:10,21:35:12
IEXY801208HXMAQO87,13:57:48,21:37:13
MISP931209MCGNDB24,18:48:30,21:20:32
NCTQ911228HSDLBF32,17:43:14,21:45:24
GFLJ950917HRTWFB66,13:57:05,20:27:07
JKAW681228MEPMWH01,11:49:04,20:09:15
NYQT941218MZDGTB45,12:11:16,21:57:05
CWUS971009HFXDHV55,14:33:07,21:07:28
OJFT951227HWMXIG21,16:26:13,20:39:22
DRVC981129HXYJBS71,9:34:49,21:11:45
WMQJ931227HCYWEB85,19:26:24,21:41:20
NRFL981126MNVCYH69,9:33:34,21:42:47
EBQR901029MVIUZD82,7:01:59,21:09:29
LPWZ961209MABKVW45,18:24:35,20:07:55
SUJR911129MFKEIN57,17:11:05,21:06:04
FTAI900929HFTJYL59,16:49:35,20:30:04
LMAN931019MBOAPJ24,7:52:01,21:16:48
RBPH841217MIWTQX65,12:51:58,20:36:13
ISUN921207HCRPKU59,7:29:49,20:34:49
IUJT831029MNUCYI26,12:02:19,21:28:54
SGYW811006MZTHRJ96,17:57:34,21:04:29
SDKC891029HEYMBN39,20:25:49,21:05:03
YLGI990429MXPCHL66,11:07:38,20:02:07
MHPV861219HFPYQS86,10:40:56,21:58:42
GWFS690919MTMEGU97,15:03:12,20:12:56
BSNV841228MEOMZP97,15:32:38,21:00:30
LWGU811209HPQAZM66,13:55:18,20:30:27
HYSE971228MPCHJQ50,18:47:19,20:12:40
LMND951218HEARZS15,9:20:35,20:58:07
VXNI841129HIMDXN74,16:09:14,20:27:19
JSRO821208HVWMTC12,8:34:53,21:39:11
YKJH851108HGNOTZ28,20:47:19,21:02:00
KQAN721129MOSXZR28,13:44:49,20:43:32
JYWR781229HWJYCN33,20:16:15,21:40:18
UVPF821228MNWQXL54,14:32:37,21:18:14
YUPA851129HUZXKI21,16:44:33,20:26:28
PLIH801029MOGXQN46,12:10:12,21:57:49
YSQE711128HWJRTI25,11:15:53,20:45:52
ZIWY761228MNBSPZ78,20:22:59,20:51:55
EZKX971126MRCHPX65,18:39:16,20:50:18
VQRS921028HZWOHC24,7:03:38,21:21:37
SHAW971007MNMJFD54,15:09:25,21:16:05
XAFU721119HAOYNI38,18:23:53,21:09:52
MHKE700909HRTYPZ73,19:35:31,20:54:28
OXLU811129MITXEV49,8:41:58,21:42:07
TKCL981227MRCZYE74,13:34:10,20:41:12
CFDE841219HFVTHI31,13:00:53,20:23:50
USJI971107MOAXIQ26,17:07:14,20:41:43
JQPU991219MABUSF04,19:35:56,20:41:31
CPVU911227MDBVOG32,14:24:35,21:29:10
INPG711218MZKXPI32,12:36:01,21:24:05
VMEB731209HVOKYL68,8:44:37,20:41:22
XWSI801119HZIFDR86,10:11:14,20:54:57
JYXT691119HEPHVT50,11:05:23,20:02:13
TEBQ901229MCSDKG65,11:18:37,20:09:18
NAQK930809HQTGON58,20:04:16,20:40:07
UOMC751129MXEOKC52,15:31:42,20:23:14
BRTC801229HZYPWA03,13:27:46,21:02:40
MKYR831116MIRAVE76,11:29:20,21:35:40
ITDF931119MXSCAG77,17:06:14,21:25:35
IPHK601126MIXBSM61,8:56:16,20:12:24
TRPJ601209MSGIQZ46,19:31:02,21:24:07
BESQ880829MSAPLW21,11:36:38,21:41:58
CXAU981028MBMVKU15,8:53:52,21:39:13
TCKE941224MYDCOV49,9:06:51,20:28:31
FARS980927MJMEFW90,18:07:56,20:58:05
TSEM921129HMSXNU37,16:58:12,21:35:57
DSTK951129MVOMAI32,19:35:18,21:09:12
VSMQ931229MXAFLV52,16:55:07,20:19:18
JTQU961126MNGXFP07,7:21:17,21:55:08
ZUVL911227HMIUGX60,18:27:34,20:14:31
ORLN981229HEAGNJ24,7:03:10,20:56:18
MCVR871229MKFMHL61,11:14:56,21:03:29
MEVS831225HFTSYH86,9:54:18,21:16:54
DZMG651128MIPLOW46,18:05:26,21:37:01
PZHG981217MOXITF55,18:02:11,21:33:48
CHFM961127MMSAXK18,15:13:25,21:39:42
RIKN921219MVWKBQ89,11:35:20,21:19:04
JUHS941229HLCDZS19,8:52:12,21:08:27
FAGW671227MNLFXE64,18:47:45,20:49:00
DGJU901129HXWUPS67,13:17:08,20:29:22
IRUN961226HKDLWP90,13:30:18,21:26:53
YXUK981229MOIQVZ16,11:31:30,21:41:56
EHZK951217MJCHIY32,10:21:16,21:16:18
ZJAM821109HACQNK17,17:13:48,21:12:39
IBUS881217MSDOAF21,18:57:48,20:41:28
PNJX940916HADJQY51,12:22:15,21:23:26
YDGS981229HPEGLX29,20:07:56,21:21:53
OZWI921029HWGBFP01,11:26:37,21:08:53
METD731108MKTNMB41,8:53:46,21:55:44
XOTR631208HWCXGA24,18:01:13,21:38:55
ADGJ841106MTRHOW65,7:57:57,20:07:48
URKM861207MXRAYL91,11:37:40,21:59:33
FXZE651016HLNJRW03,17:54:52,21:58:32
UEXS981229MZPRXH88,10:43:12,21:06:43
RMAO971109MVGRDC11,20:24:37,21:14:29
FZWX600817HVYZBW79,18:08:09,20:52:02
VYAQ821226HRDFMZ50,8:02:18,20:40:03
MGBR851127HQEAMG95,16:18:14,20:55:04
JTQE871028HVOPCZ78,16:28:23,21:48:53
ZDKJ881118MVEDPO91,14:19:17,20:36:05
ZCRI821119HPKGIU66,12:34:22,20:15:14
RJHO811227HBRWPO40,14:19:09,21:54:34
MUQW771219HQVCGU58,12:33:20,21:55:04
SKZM821129MULWXC44,15:27:11,21:15:53
TUPS651119HBDORF92,7:04:46,20:00:12
JTWL811009HHVOUL23,16:49:39,21:23:25
JYRG661218HRWBTD06,12:27:50,21:22:18
TQME911127MFEUOZ18,12:20:46,20:23:32
VRTB721029MJNWDE11,20:08:49,21:36:09
PKGO971228HUQXEF57,16:06:57,21:07:58
TJMB951209MJNPKH82,14:05:39,21:07:37
LWPT791108HBKRSV67,18:09:01,20:17:44
ZYGA991009HJKBGI57,10:10:47,21:44:35
QPAH981129HVHEFA21,11:56:03,21:10:01
DTYC631218MZIQDM87,13:06:29,20:23:56
RBQP991219MNCEJQ04,20:56:48,20:51:18
TYMJ970929MFISDW33,17:12:34,20:50:26
NTMZ660308HPQHIS74,15:51:40,21:24:14
USVJ761116HHPLVS08,20:53:52,20:59:55
HCYQ611129HSDCFG94,12:29:25,20:14:33
IFOR620909HAHZUD17,16:57:31,20:14:05
WISZ851127MEJDFM15,14:30:08,20:09:52
TNXE930818HIEPMQ09,20:12:18,21:21:16
NWVE911227HFDHTR95,10:16:15,20:26:58
AFCD671029MQJETV80,19:50:59,20:10:05
AZHI841209HBLIFR26,18:28:12,20:30:48
BGAR941224MPGSRT26,15:29:47,20:46:45
JQIC971228HXJDYV09,9:35:32,21:41:58
NHIV711217HTXBIK02,10:22:38,21:43:37
CJLU960709HUKFJY74,10:04:06,20:22:20
NBTK831119HQATJK75,20:08:13,21:44:44
CIHO801228HIWTXY91,10:26:00,20:52:07
YVDN951229HINTDP03,11:19:01,20:25:18
VCIQ801229HNGTQY72,14:57:00,21:29:00
EWSF881029HXBUTM33,7:13:29,20:51:06
RGEU701229HAWLDB34,8:27:36,21:13:46
YNFA801208HNJYWG87,7:15:00,20:25:46
KYZH901219MYPTBD31,9:06:34,20:12:52
OTYR901229HDJAEB70,10:41:00,20:50:55
TUXC991109MOCXAW51,8:20:32,21:31:03
WHYX821209HOMRJA07,12:28:51,20:34:46
HSCG870927HNYZJH13,15:10:25,21:55:32
YMBU921129MVGXMR83,14:33:35,20:24:43
ZLCD781227HDSUBA03,8:29:07,21:59:13
NBKR891221HFQSIT12,10:24:51,20:56:27
DSFX941229MXARPL71,13:00:38,21:20:00
KLCU911228HGKZDY85,7:18:19,20:18:12
OISY681207HFBRJM08,17:51:50,21:00:58
PEUQ741208HNOEUG60,16:35:48,20:32:56
FHUQ731019MIQCYV98,14:28:03,20:11:43
RZDP991209MIWKBM47,13:42:38,21:22:33
AKZQ651019MKFXHA54,20:51:08,21:14:05
WNIH721212HXQTJV43,12:20:14,21:29:11
VWGH891218HYVSGF08,10:20:49,21:52:33
FBWM991229MLZOBC41,14:13:11,21:28:38
NUYO641219MNDCOX77,12:59:11,20:56:00
KGSH981108MUSWCB17,9:54:05,21:32:47
ZTLX961229HBUJRP04,16:22:17,20:18:35
DWZB931009HCUBQT26,18:43:10,21:29:27
PONK841209HQBVMK44,9:07:04,21:10:23
NXJL661209MVMBSD40,8:20:13,20:24:47
TEJN911118HLUYGD34,10:59:54,20:25:52
VTAU681229MULWZV53,9:55:06,21:23:03
YZQP670728MYCUVM28,12:32:38,21:37:14
MOSE840819HBKOIW61,11:07:15,21:51:30
CVOW871128MGMXRL71,10:45:55,20:59:13
TDZW961208MMPVED89,7:24:02,20:45:34
KITY851128HDLYIS80,13:37:31,20:32:20
UQHR801228MAEBJO55,17:14:45,20:14:46
TWKR891114MKXSFE25,19:05:56,20:16:34
ECWP921105HNFUDG46,17:10:39,21:12:47
INGL691129MKMTUV92,19:54:04,21:53:12
ZCWR731209HVFBTI41,10:20:14,20:47:20
ACYT960916MQKXJY01,8:58:42,20:31:39
NKDE751229HBXIMA74,12:59:15,21:41:42
CSFI921225HKYNHR61,9:54:20,20:55:14
NQXF830919HIUJVN47,18:17:38,21:29:15
NTZH901128HNXCLG89,20:51:11,21:29:08
VIQU921028MRGCAX86,13:36:47,21:27:57
FROL871229MIRYZK94,19:05:10,21:10:24
WBTS921026HMILJS55,20:04:16,20:56:11
ZTUL761119HIDNVC40,20:11:31,20:41:56
FMLV711226HODQSI59,14:08:48,20:11:47
UIEN961219HUWHLK53,16:33:41,21:28:16
VSMH991219MRTXKE68,16:16:31,21:21:01
TAZX811118HFCYMA06,18:10:11,21:55:08
DLTK821226MBCEZH39,17:09:04,21:22:49
ZEIY911208HRFHIG43,14:51:51,21:58:15
EFTS941127MLEYIA39,17:00:49,20:59:58
KATZ641229MSGRVE67,9:35:43,20:30:17
KDJQ950918MOSKFP40,11:16:28,21:07:48
CNKE811218HRUGTN20,13:35:21,21:24:56
NLQU950918MIPTHB57,13:01:49,21:45:49
FXTW841024MKXGFC42,13:30:41,20:11:26
TWSB921129HSPOYW12,13:16:05,21:14:44
QLYM931228HWDUBJ85,16:25:21,21:07:16
FEXU810608HTVYXD15,9:42:47,20:18:26
AQWL911129MWDROI15,14:20:03,20:44:01
DWPT950829HDAPON17,8:46:20,21:45:38
LWNH970929MIRXUQ84,10:26:57,20:52:21
OUKS931129MKAZTW66,16:23:41,21:17:05
AXFM800927HMJLVA64,12:50:38,21:46:01
LAQC721109MEFQSY03,18:58:00,20:28:24
SPNC971128HCUYHM41,16:30:38,21:29:04
LDHT671227MIGPLT72,9:04:05,20:41:51
PEIL731129HKYBZT24,14:33:57,20:52:04
WSKF971129HQCZDX18,10:36:56,20:29:39
NIEM871119MOMYVC29,13:09:18,21:59:01
ABGZ991029HNUSZE45,15:41:59,21:01:19
CTOI971229HSHUOE20,20:45:24,20:12:55
MDZF751217MIHUSX21,20:36:45,21:37:34
DAKH891227HSMTAW34,14:52:06,20:33:22
NCFW801129MEKNJV50,11:12:32,20:58:22
PXOZ921229MXYURN55,17:25:51,20:20:56
FOPL911026HNWZPE70,13:54:56,20:10:40
QIDP871227HPUOJZ19,18:09:43,20:01:45
KDSU871218HRYKLI13,11:19:05,20:16:55
JBVT921128MWISHP68,16:53:11,20:28:41
HKAI781029MEMPJS24,19:14:04,20:36:35
RQAE681217MOMNXK21,19:21:54,21:03:01
UPKI761229HFGCMN71,7:44:23,20:07:24
AIVR901228MXEHSD68,15:23:19,21:22:21
SYZP991129HOXJFW58,8:41:22,21:14:38
KGZW951229HBNDLS81,12:36:28,20:19:47
QLFS771128HSBNFL83,16:20:05,21:09:40
YXRC981128MXNAID90,8:20:54,20:21:25
IXVM881219HAPWTI68,20:09:47,20:49:20
HZEP811209HCUSYG81,12:02:28,21:25:22
HLCX631226MUIVDW70,18:02:03,20:52:43
BHAE801126MKYFOH74,11:44:16,20:02:06
LXHO921028HVPLSU17,18:46:24,20:17:20
QZHD951219MIDPBC02,18:37:12,21:19:56
TOVE831008HZDCMU55,17:47:58,20:31:29
RWSH911218HMPOLS32,15:01:45,20:59:37
TCWO911118MNHTEL14,20:48:12,20:10:14
SCLT991219HCHBRI32,15:40:03,20:02:23
IWCE981208MNTOEV55,17:13:08,20:00:35
VZHQ841209MVIUPZ29,17:04:10,20:11:38
JQEZ910525MFBLWK30,19:01:48,20:43:06
CEFB911128HFWLNU71,7:39:53,20:21:00
XNAF761128MENSGJ14,19:40:30,20:30:57
JEQK901027MRKEXW26,14:50:53,21:29:40
ARXQ911108MCWAEQ72,11:15:53,20:49:44
XAIV741217MXUFZM53,18:57:44,20:56:36
MQCR631229MCWXJF58,9:54:10,20:44:05
QAUL841107MYXCVB77,12:33:24,21:30:48
HFRA921119HXKZSW00,13:40:58,21:57:52
KXIB631219MPIEUV92,10:52:02,20:08:59
EKBN941029MLSRWA85,13:15:54,20:01:48
SJZI960629MMEZWN66,7:56:35,20:41:59
CTVX950829HISLQW97,8:52:47,21:54:38
NDPT831207HDXVRB42,7:37:08,21:19:11
BPHG981228MJPRNI91,15:18:35,20:31:50
ZGYD951228HGIVFU98,7:52:11,20:38:30
JDHI811209HBAXVT86,8:29:33,21:20:09
LEIV950706MNXMFO67,14:24:21,21:14:38
DPLU691218HPRKBD63,18:39:42,20:12:10
VGIC971227HRLPIS03,19:16:40,20:48:49
AQSM901219HOIXKC44,15:57:46,20:31:24
KWJZ901119HQLYFE92,17:04:39,21:07:25
AVOC941208HRASQL22,17:38:26,20:45:51
CFYS921128HFPVDE41,12:30:13,21:03:25
ZJQB871219MGFIXC55,11:13:26,21:30:23
LWPH901115HVQHSR22,8:35:55,20:02:23
LXBF941229HEXLSR72,11:47:54,21:16:20
YAHL821207MXHPZT98,12:17:30,20:38:46
GQCY821006MLKMJQ13,7:48:14,20:01:30
MERJ881209MSYDPE26,15:38:25,21:36:13
WNJE991227HXURMH89,15:10:50,20:45:14
DHPN721207HGPFJR15,7:23:20,21:32:34
GAEU871119HPERXG23,11:41:45,21:41:45
JMEQ841109HHEOZD39,18:38:19,21:52:44
ISXJ601219HHFJIE85,15:49:43,21:38:30
KQFB921128HMOBZJ44,13:00:48,20:39:53
ISBX741228MKJOFA18,9:52:43,20:57:48
WQUF871229HIFHOG43,11:45:24,21:43:58
CBUD781229HQYEFG37,11:17:36,21:29:37
HDYS671017MUMLSY00,17:20:24,20:24:51
WEAT821127MDYLRN01,11:15:01,21:08:52
MDAT971209MYTCRI19,17:18:03,21:30:45
VHAM691219HFNEVX69,13:22:20,21:22:45
LTYR641207MZVWPI44,20:26:15,20:00:05
VSOR621229MWXQRZ52,15:46:30,20:59:23
OJIN881218MAQLZP84,8:04:33,20:17:35
UVLH891208HXJQPS02,18:00:18,20:06:43
EHQV981208MCTQNU68,18:25:31,20:01:47
BZNO781229MIWCXP73,20:32:46,21:28:23
CSPV711027MPAZCK60,13:40:22,21:51:34
WMAL721027HUJLZI09,12:57:21,20:14:16
FTWQ630218MRDVJP13,15:02:07,21:26:59
PFZQ921227MDRTNE20,20:12:53,21:04:09
OETA801206MXHRAU80,20:26:11,21:41:14
SHNO831129HNGFRI17,16:55:13,21:57:16
AQIB971229MZBMIF08,20:36:20,21:59:26
JHUM971229HDJRIH08,15:16:55,21:34:46
VRPM981207HKIMZL44,17:10:03,20:26:30
GHOI821109HZVAPD72,15:28:10,20:08:57
LDTQ651219HNUKQT86,16:32:48,21:47:24
LPIS951128HKNFJA29,19:19:00,21:13:52
WZKF961219MYWVXD27,10:33:13,21:02:30
JGYZ791129MNJYDQ85,11:47:02,20:47:34
HXDB831009HFULWE59,7:12:18,21:15:57
EFMS971229HLGWCN97,14:00:04,21:10:30
KVOI950926MRDLIG45,17:31:16,20:22:18
CBNL971227MMEQCK92,17:14:45,21:45:12
HLRZ810929HUEWDI69,18:06:52,21:04:11
XZNT881219HOVMGY24,10:38:54,21:09:27
CWPN801227MXZOGB08,8:19:23,20:15:40
RBDV620728HTMHJR10,7:23:04,20:19:21
MJXK941219MEUBZS09,9:01:49,21:09:54
DKTU991226MZKUXM63,14:22:43,21:21:03
XOEH801229MBYUWF40,7:17:26,21:50:20
VFMW811227MQYZMK54,12:28:20,21:58:04
JDES760804MJMHUA69,15:33:28,20:35:32
TOCF861219HOSXNC29,16:01:49,21:15:31
NVTU991216MVXBNI60,19:29:10,21:58:59
ZVLO971109HSXATF86,11:16:39,20:32:14
RFGQ861028HKIEJZ95,19:02:00,21:01:00
MNAP991228HDHBXM09,8:45:14,21:39:52
AOCJ671226MOEKFL01,9:15:13,21:03:31
MJHC951219MZVGBL17,19:41:54,21:35:41
IUSL981219MWIGQA44,14:05:28,21:17:48
ABPH970807HHLTON31,18:40:44,21:01:18
SCWY971218HYLTXH79,18:10:24,20:37:57
KEYU921009MLUYKT52,20:36:17,21:20:13
FWCH920728MJHIYZ87,19:08:16,20:57:44
RAYN871209MPGEMO88,7:17:33,21:39:00
ZQJG851209MHEVYF13,17:35:13,20:41:47
XMZB781225HGQFMC51,16:00:32,21:27:41
ZICB940807HVHFKL35,15:14:20,20:59:04
ZHXS881129HHNJXG81,8:56:19,21:27:45
BXYI941224MPUISX58,17:44:52,20:33:04
XJIP611205HWRVXJ53,12:41:19,21:34:18
VSBE921219HDWTRM81,15:43:03,20:04:42
XPGM931126MIXGVA65,18:17:04,21:12:11
KIAQ741129MZPUHD36,18:08:59,21:38:51
HYIZ831229HISVAD16,14:13:55,21:12:33
UTLC641228HJYLKG69,10:18:33,21:02:49
UHRI860829MQEWFP29,16:07:36,20:21:08
IRNU821108HYVRZE77,12:08:36,21:46:18
QCJA901228HGCXIB00,17:39:02,21:23:38
PMAZ921228HBIYXV03,15:54:39,21:57:07
EUCD960809MWBVRJ00,13:49:57,20:37:53
ZIBQ931224HBQULN65,9:37:37,21:24:36
ZLJN901229HXYOWU15,10:25:05,20:43:10
LZWU661108HGAZBC93,17:11:28,20:34:20
IWLY961209HXCATV24,14:37:40,20:26:37
HMKG901019HVPEOB88,8:35:43,20:21:29
YHFD871229HYQWXH39,15:29:13,20:33:51
HZGD831229MAVUEH10,20:31:52,20:53:15
NFOD921227MBOUDH40,17:41:01,21:39:07
SVRT811213MSFLJQ99,13:47:31,21:54:52
ZYEA651119MJCRZY98,13:32:49,20:25:47
BJGR951129MKQPUH68,16:28:55,20:19:13
RQSZ991228MSNVMG41,8:00:23,20:42:09
ONHJ951226HOUJDT33,14:55:10,20:58:06
JHKC791109HXRHQY81,14:34:48,20:19:00
BGIH611128HROMAB07,18:39:43,21:27:45
ZENX631209HZQKRN97,16:31:12,21:28:30
GNQF971214HPCXIA63,10:07:43,20:33:49
OHVU961007HZEDQM77,14:57:06,20:50:02
TQOY981219MXLMCJ83,18:50:56,20:17:32
VCXO831128MSRTFX07,12:09:23,21:28:07
OVNL841009MSPLCQ19,9:45:14,21:07:44
UOLI921126MQKXTZ32,14:19:18,21:07:58
AOEV930909MCJVYN80,10:43:21,20:48:31
ERSO990828MSJIZY39,15:04:34,20:43:55
AFDC951129HOHAXC43,18:37:10,21:39:51
FNPU851129HVCGWX30,9:46:02,20:23:21
EDIC951206MGPKCI11,9:51:12,21:48:49
QNFU961225MAEWHM05,12:39:03,21:04:57
SJPW901108HUHWTD17,9:25:59,20:19:54
PAXS971107MAUNTF44,7:03:17,21:41:27
RCWY961219MAILMF37,16:06:40,20:34:34
UVIT901229HEYLBU32,16:28:39,21:07:25
VHOQ731225HFVMQG81,15:59:01,20:57:09
NOKX971219MHCPAQ22,19:46:56,20:04:33
XBFA991208HKYTXD55,17:00:24,20:23:49
HBXV711007HJFTPQ83,10:25:46,20:04:45
IPDN831229MWNVKL59,8:40:29,20:19:08
MXSG811228MXUHFN95,19:59:46,21:40:06
NLXI851208HZPINJ94,10:21:52,20:41:54
PYEH791126MSBJXC99,11:02:37,20:25:13
IXSV630929HPMLID88,7:13:42,20:32:41
PCVX881219MZXHAJ92,7:28:47,20:23:59
CDAF951228HEQPCU16,11:28:21,21:42:04
RLXP951107HXSZHU57,9:04:06,21:53:53
UDVB610816HQCMOR58,13:56:17,20:29:14
SXBA681229HNILFS35,16:39:32,20:39:15
WFAK951229MYEHGD90,12:12:24,20:31:47
ZMVO791101MAYGTB37,7:50:30,20:10:28
STDO951117HYEZVS75,8:43:59,21:22:54
ROGC911229HENQIA43,10:53:59,21:52:11
GXLI831229MITUWF33,14:26:43,20:13:07
PRFU900906MEKMCF38,17:57:16,21:40:21
LABV921118MCYTPA88,7:05:22,20:23:43
GZTU741008HSOWCG14,13:57:19,20:50:28
XLQG611228HQVYNM82,10:55:50,21:50:39
JPTF991229HYSCAF50,19:33:39,20:57:57
ETBS831229MWHMYA64,15:34:23,21:54:29
MTUX621209MZAQFU23,14:54:37,20:55:20
NZDY991229HWOIDN55,9:42:29,20:21:36
VZCX921226HVFRQZ82,10:04:03,21:27:20
MCVA910926HRPHDB14,7:31:50,20:27:01
NWDB911218HQFVTH10,12:22:22,20:34:30
DXQF851229MAYGTU55,11:13:02,20:44:42
CVHG931206HIWXUL81,18:43:21,21:41:49
YBOL950909MKMTXC94,10:16:31,20:20:24
ABNF631219HNLPZG62,13:05:57,20:07:01
QIZR631216MLSOVZ35,13:40:32,20:16:09
WLJQ901206MBFITD51,20:50:39,21:15:37
JRCV761219MSNFPQ95,13:09:42,20:15:07
OJCY971219HKFIWQ27,10:47:23,21:44:26
SORZ911217HBRFGH69,19:57:45,20:02:57
GFTN931227MGSEXP28,15:13:33,21:01:47
LOKC601229MGLRCT40,9:36:23,21:39:07
ICPT831226MTNCQA48,19:40:05,21:49:30
QNGM801229HAXZKY29,10:33:04,21:33:33
EPMH701208HUVBFZ33,17:22:04,20:10:07
ASNZ651009HNIQAC36,17:12:11,21:08:55
NHZA901218MFRVOB64,20:48:49,21:29:03
JLAW731108HXFKLO18,12:17:46,20:58:09
WGST611219MYAVXJ13,17:17:43,20:29:36
WGBL621029MYHMWK05,19:44:34,21:09:50
XAQK741209HDSMIV83,15:32:46,20:06:23
TDKJ940925HVENXQ86,18:48:09,21:19:20
HPGQ990919MWAXJI35,19:34:02,21:59:48
FQHJ901228MMOFQE85,8:21:56,20:57:48
XWVE961209MXLHKN32,13:14:14,20:41:27
AVQW631228HTAYVZ17,18:02:24,20:38:14
OWGQ720628MUBVFS81,14:16:57,20:02:57
STCW991118MWCTDA75,17:32:59,20:27:24
DYBV831219HUMJDL69,12:32:25,21:38:39
EICH971218HVQWLR33,15:05:23,20:39:33
PKLT791126MPIWCD98,10:11:49,21:48:20
NIZB961108MDNYQT89,9:40:41,21:12:09
AOSD700719MFBCKS76,12:55:47,20:54:29
IVLP861229HZWHCY93,15:12:29,20:37:21
FSKW911007HNZGUL45,12:12:04,21:00:15
ORDL960917MNAHWR53,16:21:04,20:51:23
SGBN621109MWIZQJ94,7:19:49,21:37:45
HTSR631108MXDZLR08,9:58:27,20:43:03
UVIH751225HSYZOF22,16:42:37,21:46:15
BTVO771128HNTUAC47,15:12:08,21:45:05
YERJ991129MZXWSA29,11:51:40,20:26:42
TFVC751219MXJQHS08,18:53:38,21:07:31
NPQO771119MGYTQR67,18:09:43,20:01:44
TJVB881217HOSBRY17,19:20:45,20:12:01
CTLG671219MXLWVD24,15:26:30,20:19:55
PKIJ961209MWROHN55,12:59:20,20:47:09
ABGU951229HFDVNW39,11:17:52,21:44:44
XSJU690929HIYDQV84,15:19:20,21:15:00
ORWJ741208HCEHDF57,8:32:57,21:49:52
SIPA881109MWQLZR29,10:10:48,20:52:12
NSCL911119MVBGSD99,7:37:39,21:54:51
AUCH941008HVTKAE66,11:31:27,21:01:38
HRXW731229HMESKW03,17:08:04,21:25:33
UXPO911226MRDIJP58,18:22:23,21:29:58
WFNR931107MBPCUK51,17:40:43,20:24:23
SJGD910928HFKDST94,13:50:51,20:31:05
